date,home_team,away_team,home_score,away_score,tournament
2024-01-10,Brazil,France,2,1,Friendly
2024-02-15,Argentina,Germany,1,1,Friendly
2024-03-20,Spain,Italy,2,0,Friendly
2024-04-12,England,Portugal,1,2,Friendly
2024-05-18,Brazil,Argentina,2,2,Friendly
2024-06-10,France,Germany,3,1,Friendly
2024-07-15,Spain,England,1,0,Friendly
2024-08-20,Portugal,Italy,2,1,Friendly
2024-09-12,Brazil,Germany,3,1,Friendly
2024-10-18,Argentina,France,2,1,Friendly
2024-11-10,England,Italy,2,2,Friendly
2024-12-05,Spain,Portugal,1,1,Friendly
2025-01-15,Brazil,Spain,2,0,Friendly
2025-02-20,Germany,England,1,2,Friendly
2025-03-18,France,Portugal,2,0,Friendly
2025-04-12,Italy,Argentina,1,1,Friendly
2025-05-20,Brazil,Portugal,3,1,Friendly
2025-06-15,France,Spain,2,2,Friendly
2025-07-10,Argentina,England,2,0,Friendly
2025-08-18,Germany,Italy,2,1,Friendly
2025-09-12,Brazil,England,1,0,Friendly
2025-10-20,France,Italy,3,1,Friendly
2025-11-15,Argentina,Spain,1,2,Friendly
2025-12-10,Portugal,Germany,2,2,Friendly
2026-01-15,Brazil,Italy,2,1,Friendly
2026-02-20,France,England,1,1,Friendly
2026-03-18,Argentina,Portugal,3,1,Friendly
2026-04-12,Spain,Germany,2,0,Friendly
2026-05-20,Brazil,Germany,2,2,Friendly
2026-06-15,France,Argentina,1,0,Friendly
